p_Pa,pressure_ratio_local,T_is_K,rho_is_kg_m3,h_is_J_kg,a_is_m_s,c_is_m_s,Ma_is,T_act_K,rho_act_kg_m3,h_act_J_kg,s_act_J_kgK,a_act_m_s,c_act_m_s,Ma_act
2383270.676691729,5.017411950929956,420.342994222328,142.90628619690585,491993.0133376263,112.82730521150512,39.786240243900714,0.3526295356369432,420.3429942223469,142.90628619687274,491993.0133376263,1792.174825264378,112.82730521152676,39.786240243900714,0.3526295356368756
2378195.4887218047,5.006727344677484,420.2195800333465,142.5078428959791,491957.44962755137,112.89416312951745,40.670288084733855,0.360251468785636,420.21958003336397,142.5078428959482,491957.44962755137,1792.1748252643195,112.89416312953796,40.670288084733855,0.36025146878557057
2373120.30075188,4.99604273842501,420.0960497634388,142.1098718032917,491921.78640335856,112.96117907495108,41.53791979963427,0.3677185395884843,420.0960497634551,142.1098718032635,491921.78640335856,1792.1748252642644,112.96117907496968,41.53791979963427,0.36771853958842377
2368045.112781955,4.985358132172537,419.97240315854674,141.71237318910926,491886.0232256021,113.02835230142291,42.39015377176349,0.3750400046416481,419.97240315856203,141.71237318908294,491886.0232256021,1792.1748252642142,113.02835230144031,42.39015377176349,0.3750400046415904
2362969.92481203,4.974673525920063,419.8486399599851,141.31534731451265,491850.15965219855,113.09568206007378,43.22791093264722,0.38222423831959884,419.8486399599991,141.31534731448838,491850.15965219855,1792.1748252641657,113.09568206008993,43.22791093264722,0.3822242383195443
2357894.736842105,4.96398891966759,419.7247599044101,140.91879443142486,491814.1952384059,113.16316759962004,44.052027322090225,0.3892788462580835,419.72475990442297,140.918794431403,491814.1952384059,1792.1748252641203,113.16316759963455,44.052027322090225,0.3892788462580336
2352819.5488721803,4.953304313415116,419.6007627237858,140.52271478264277,491778.12953679997,113.23080816640211,44.863264642667694,0.39621076073869743,419.6007627237977,140.52271478262267,491778.12953679997,1792.1748252640784,113.23080816641558,44.863264642667694,0.3962107607386503
2347744.3609022554,4.942619707162643,419.4766481453514,140.12710860186527,491741.9620972506,113.29860300443636,45.66231918657582,0.4030263213818078,419.4766481453623,140.1271086018467,491741.9620972506,1792.1748252640384,113.29860300444889,45.66231918657582,0.4030263213817632
2342669.172932331,4.93193510091017,419.35241589158824,139.73197611372376,491705.6924669008,113.3665513554655,46.44982943129476,0.40973134382159515,419.3524158915984,139.73197611370648,491705.6924669008,1792.1748252640018,113.36655135547718,46.44982943129476,0.4097313438215529
2337593.984962406,4.921250494657697,419.22806568018655,139.33731753381343,491669.32019014045,113.43465245900855,47.22638253896936,0.4163311784821255,419.228065680196,139.33731753379763,491669.32019014045,1792.174825263968,113.43465245901918,47.22638253896936,0.41633117848208645
2332518.796992481,4.910565888405223,419.103597224012,138.94313306872505,491632.84480858553,113.50290555241176,47.99251994662198,0.4228307611425919,419.1035972240207,138.94313306871044,491632.84480858553,1792.1748252639352,113.50290555242172,47.99251994662198,0.42283076114255475
2327443.6090225563,4.89988128215275,418.9790102310724,138.5494229160756,491596.2658610519,113.57130987090004,48.74874219807266,0.42923465665304766,418.97901023108034,138.5494229160622,491596.2658610519,1792.1748252639047,113.57130987090918,48.74874219807266,0.42923465665301314
2322368.4210526315,4.889196675900277,418.8543044044835,138.1561872645409,491559.58288353245,113.63986464762736,49.49551313940565,0.435547096900199,418.8543044044909,138.15618726452854,491559.58288353245,1792.1748252638765,113.63986464763582,49.49551313940565,0.4355470969001666
2317293.2330827066,4.878512069647804,418.72947944243583,137.76342629388958,491522.7954091721,113.70856911372665,50.23326357757206,0.4417720139221065,418.72947944244265,137.7634262938783,491522.7954091721,1792.1748252638504,113.70856911373443,50.23326357757206,0.4417720139220763
2312218.045112782,4.867827463395331,418.6045350381569,137.37114017502012,491485.90296823886,113.7774224983579,50.96239448377841,0.4479130689088508,418.6045350381633,137.37114017500951,491485.90296823886,1792.1748252638154,113.77742249836517,50.96239448377841,0.44791306890882215
2307142.8571428573,4.857142857142858,418.4794708798895,136.9793290699759,491448.9050881164,113.84642402877125,51.68327980851397,0.45397367769278885,418.4794708798954,136.97932906996635,491448.9050881164,1792.1748252637935,113.84642402877782,51.68327980851397,0.45397367769276264
2302067.6691729324,4.846458250890384,418.35428665083873,136.58799313200853,491411.8012932521,113.9155729303381,52.39626896539284,0.45995703324456194,418.3542866508442,136.58799313199987,491411.8012932521,1792.1748252637722,113.9155729303441,52.39626896539284,0.45995703324453774
2296992.4812030075,4.835773644637911,418.22898202914996,136.19713250559275,491374.59110514965,113.98486842661461,53.10168902868038,0.46586612558024004,418.2289820291551,136.19713250558465,491374.59110514965,1792.1748252637524,113.98486842662014,53.10168902868038,0.46586612558021745
2291917.2932330826,4.825089038385437,418.1035566878701,135.8067473264674,491337.27404233813,114.05430973938772,53.799846684927566,0.4717037594445958,418.10355668787474,135.8067473264602,491337.27404233813,1792.1748252637342,114.05430973939268,53.799846684927566,0.4717037594445753
2286842.1052631577,4.814404432132964,417.97801029491313,135.41683772167076,491299.84962034645,114.12389608872569,54.49102997104281,0.4774725700626163,417.97801029491757,135.41683772166363,491299.84962034645,1792.1748252637174,114.12389608873077,54.49102997104281,0.47747257006259497
2281766.917293233,4.80371982588049,417.8523425130247,135.0274038095759,491262.31735167676,114.19362669302822,55.175509826774274,0.48317503721197486,417.85234251302865,135.02740380956962,491262.31735167676,1792.1748252637003,114.19362669303278,55.175509826774274,0.48317503721195554
2276691.7293233084,4.793035219628018,417.72655299974633,134.638445699928,491224.6767457782,114.26350076907563,55.85354148522377,0.4888134978299214,417.72655299975,134.63844569992222,491224.6767457782,1792.1748252636858,114.26350076907977,55.85354148522377,0.4888134978299037
2271616.5413533836,4.782350613375544,417.60064140737927,134.24996349388226,491186.9273090182,114.3335175320769,56.525365721608175,0.49439015733728015,417.6006414073827,134.24996349387715,491186.9273090182,1792.1748252636712,114.3335175320805,56.525365721608175,0.49439015733726455
2266541.3533834587,4.771666007123071,417.47460738294905,133.86195728403996,491149.06854465726,114.40367619572007,57.19120997743846,0.4999070998347694,417.4746073829521,133.8619572840352,491149.06854465726,1792.1748252636578,114.40367619572349,57.19120997743846,0.4999070998347544
2261466.165413534,4.760981400870597,417.3484505681687,133.4744271544857,491111.0999528207,114.47397597222184,57.851289375057156,0.5053662973066936,417.34845056817164,133.47442715448148,491111.0999528207,1792.174825263646,114.47397597222478,57.851289375057156,0.5053662973066806
2256390.977443609,4.750296794618124,417.2221705994018,133.0873731808285,491073.0210304696,114.54441607237263,58.50580763530004,0.5107696179474546,417.22217059940465,133.08737318082416,491073.0210304696,1792.174825263635,114.5444160723758,58.50580763530004,0.5107696179474404
2251315.789473684,4.73961218836565,417.09576710762565,132.70079543023755,491034.8312713732,114.6149957055879,59.1549579093044,0.516118833710521,417.09576710762815,132.70079543023397,491034.8312713732,1792.174825263623,114.61499570559046,59.1549579093044,0.5161188337105095
2246240.6015037596,4.728927582113178,416.96923971839504,132.31469396148216,490996.5301660819,114.68571407995452,59.79892353407508,0.5214156271668287,416.9692397183975,132.31469396147853,490996.5301660819,1792.1748252636135,114.68571407995715,59.79892353407508,0.5214156271668167
2241165.4135338347,4.718242975860704,416.84258805180286,131.9290688249719,490958.11720189574,114.75657040227738,60.43787872027351,0.5266615977491264,416.842588051805,131.92906882496862,490958.11720189574,1792.1748252636037,114.75657040227986,60.43787872027351,0.5266615977491149
2236090.22556391,4.707558369608232,416.7158117224434,131.54392006279562,490919.59186283697,114.82756387812748,61.07198917936143,0.5318582674468331,416.71581172244555,131.54392006279252,490919.59186283697,1792.174825263595,114.8275638781297,61.07198917936143,0.5318582674468227
2231015.037593985,4.696873763355758,416.5889103393739,131.1592477087619,490880.9536296192,114.89869371188703,61.701412696627614,0.5370070860104496,416.58891033937573,131.15924770875918,490880.9536296192,1792.1748252635857,114.89869371188905,61.701412696627614,0.5370070860104401
2225939.84962406,4.686189157103285,416.4618835060762,130.7750517884389,490842.20197961986,114.96995910679699,62.3262996555889,0.542109435715231,416.4618835060779,130.77505178843637,490842.20197961986,1792.1748252635784,114.96995910679887,62.3262996555889,0.5421094357152221
2220864.661654135,4.675504550850811,416.3347308204169,130.39133231919618,490803.33638684644,115.04135926500105,62.94679351885292,0.5471666357301394,416.3347308204185,130.39133231919388,490803.33638684644,1792.1748252635712,115.04135926500274,62.94679351885292,0.5471666357301314
2215789.4736842103,4.664819944598338,416.20745187460955,130.00808931024497,490764.35632190935,115.1128933875916,63.56303126959318,0.5521799461296909,416.2074518746109,130.00808931024298,490764.35632190935,1792.1748252635637,115.11289338759302,63.56303126959318,0.5521799461296841
2210714.285714286,4.654135338345865,416.08004625517344,129.62532276268058,490725.26125198824,115.18456067465308,64.17514381769237,0.5571505715853672,416.0800462551747,129.6253227626788,490725.26125198824,1792.174825263557,115.18456067465448,64.17514381769237,0.5571505715853604
2205639.097744361,4.643450732093392,415.9525135428953,129.2430326695225,490686.0506408033,115.25636032530782,64.78325637378369,0.562079664765873,415.95251354289655,129.243032669521,490686.0506408033,1792.174825263551,115.25636032530886,64.78325637378369,0.5620796647658679
2200563.909774436,4.632766125840918,415.82485331278724,128.86121901575854,490646.723948581,115.32829153775718,65.38748879438575,0.5669683294751542,415.8248533127885,128.86121901575677,490646.723948581,1792.174825263546,115.32829153775852,65.38748879438575,0.5669683294751476
2195488.7218045113,4.622081519588445,415.6970651340473,128.47988177838553,490607.2806320242,115.4003535093258,65.98795590067577,0.5718176235512408,415.6970651340484,128.47988177838403,490607.2806320242,1792.1748252635407,115.40035350932682,65.98795590067577,0.5718176235512358
2190413.5338345864,4.611396913335971,415.5691485700173,128.0990209264533,490567.72014427825,115.47254543650266,66.58476777342901,0.5766285615488003,415.5691485700183,128.09902092645206,490567.72014427825,1792.1748252635361,115.47254543650361,66.58476777342901,0.5766285615487955
2185338.3458646615,4.600712307083498,415.4411031781417,127.71863642110645,490528.0419348993,115.54486651498395,67.1780300261879,0.5814021172241018,415.44110317814267,127.71863642110549,490528.0419348993,1792.1748252635305,115.54486651498448,67.1780300261879,0.5814021172240992
2180263.157894737,4.590027700831025,415.3129285099259,127.33872821562825,490488.24544982065,115.6173159397124,67.7678440586439,0.5861392258403648,415.3129285099267,127.33872821562727,490488.24544982065,1792.1748252635257,115.61731593971314,67.7678440586439,0.5861392258403612
2175187.969924812,4.579343094578552,415.1846241108934,126.95929625548284,490448.33013132005,115.68989290491963,68.35430729191744,0.5908407863087469,415.1846241108942,126.9592962554816,490448.33013132005,1792.1748252635223,115.68989290492061,68.35430729191744,0.5908407863087419
2170112.7819548873,4.568658488326078,415.05618952054255,126.5803404783611,490408.2954179838,115.7625966041631,68.93751338734529,0.5955076631795778,415.0561895205432,126.58034047836023,490408.2954179838,1792.174825263518,115.76259660416375,68.93751338734529,0.5955076631795744
2165037.5939849624,4.557973882073605,414.92762427230366,126.20186081422304,490368.1407446746,115.83542623036665,69.5175524500739,0.6001406884956032,414.9276242723043,126.20186081422217,490368.1407446746,1792.1748252635145,115.83542623036735,69.5175524500739,0.6001406884955995
2159962.4060150376,4.547289275821131,414.7989278934953,125.82385718534216,490327.86554249557,115.9083809758582,70.09451121883116,0.6047406635196698,414.7989278934958,125.82385718534164,490327.86554249557,1792.1748252635102,115.90838097585859,70.09451121883116,0.6047406635196677
2154887.2180451127,4.536604669568658,414.67009990528004,125.4463295063494,490287.4692387564,115.98146003240745,70.66847324291915,0.6093083603463262,414.6700999052807,125.4463295063485,490287.4692387564,1792.1748252635089,115.98146003240811,70.66847324291915,0.6093083603463227
2149812.030075188,4.5259200633161845,414.541139822619,125.06927768427833,490246.9512569355,116.0546625912625,71.23951904755539,0.6138445234075314,414.5411398226196,125.06927768427765,490246.9512569355,1792.1748252635045,116.05466259126297,71.23951904755539,0.6138445234075289
2144736.842105263,4.515235457063711,414.4120471542277,124.69270161860985,490206.31101664715,116.12798784318495,71.80772628835763,0.6183498708797417,414.4120471542282,124.69270161860926,490206.31101664715,1792.1748252635025,116.1279878431854,71.80772628835763,0.6183498708797394
2139661.6541353385,4.504550850811239,414.28282140252907,124.31660120131674,490165.5479336022,116.20143497848653,72.37316989598848,0.6228250960015047,414.28282140252963,124.3166012013162,490165.5479336022,1792.1748252634995,116.20143497848687,72.37316989598848,0.6228250960015029
2134586.4661654136,4.493866244558766,414.15346206360846,123.94097631690875,490124.6614195735,116.27500318706214,72.93592221156206,0.6272708683071239,414.1534620636088,123.94097631690809,490124.6614195735,1792.1748252634968,116.27500318706267,72.93592221156206,0.627270868307121
2129511.2781954887,4.483181638306292,414.02396862716546,123.56582684247792,490083.6508823571,116.34869165842476,73.49605311364546,0.6316878347838615,414.023968627166,123.56582684247726,490083.6508823571,1792.1748252634948,116.34869165842518,73.49605311364546,0.6316878347838591
2124436.090225564,4.472497032053819,413.8943405764684,123.19115264774457,490042.51572573575,116.42249958173635,74.05363013739758,0.6360766209576784,413.89434057646866,123.19115264774418,490042.51572573575,1792.174825263492,116.42249958173657,74.05363013739758,0.6360766209576771
2119360.902255639,4.461812425801345,413.76457738830476,122.81695359510097,490001.2553494406,116.49642614584285,74.60871858648119,0.6404378319132118,413.7645773883051,122.81695359510054,490001.2553494406,1792.1748252634904,116.49642614584319,74.60871858648119,0.6404378319132099
2114285.714285714,4.451127819548872,413.6346785329335,122.44322953966011,489959.8691491109,116.57047053930172,75.16138163828641,0.6447720532529356,413.6346785329339,122.44322953965951,489959.8691491109,1792.1748252634884,116.57047053930214,75.16138163828641,0.6447720532529333
2109210.5263157897,4.440443213296399,413.5046434740366,122.06998032929792,489918.35651625815,116.64463195041566,75.71168044285952,0.6490798519990505,413.5046434740369,122.06998032929755,489918.35651625815,1792.1748252634868,116.64463195041591,75.71168044285952,0.6490798519990492
2104135.338345865,4.429758607043926,413.37447166866843,121.6972058047027,489876.7168382233,116.71890956725893,76.25967421613747,0.6533617774435517,413.37447166866866,121.6972058047024,489876.7168382233,1792.1748252634843,116.71890956725925,76.25967421613747,0.65336177744355
2099060.15037594,4.419074000791452,413.2441625672068,121.32490579941755,489834.94949813944,116.79330257770984,76.80542032772883,0.6576183619486692,413.244162567207,121.3249057994173,489834.94949813944,1792.174825263483,116.79330257771007,76.80542032772883,0.6576183619486679
2093984.962406015,4.408389394538979,413.11371561330145,120.95308013988938,489793.0538748893,116.86781016947519,77.34897438375917,0.6618501217023918,413.11371561330174,120.95308013988901,489793.0538748893,1792.1748252634816,116.86781016947542,77.34897438375917,0.6618501217023904
2088909.7744360901,4.3977047882865055,412.98313024382315,120.58172864551416,489751.0293430658,116.94243153011817,77.89039030500724,0.6660575574311264,412.9831302438233,120.58172864551402,489751.0293430658,1792.1748252634798,116.94243153011827,77.89039030500724,0.6660575574311258
2083834.5864661655,4.387020182034033,412.8524058888118,120.21085112868214,489708.87527292984,117.01716584708632,78.42972040074025,0.6702411550731736,412.8524058888119,120.21085112868207,489708.87527292984,1792.1748252634784,117.01716584708636,78.42972040074025,0.6702411550731733
2078759.3984962406,4.376335575781559,412.7215419714239,119.84044739482547,489666.5910303686,117.09201230773473,78.96701543847794,0.6744013864151657,412.721541971424,119.84044739482535,489666.5910303686,1792.1748252634775,117.09201230773476,78.96701543847794,0.6744013864151654
2073684.2105263157,4.365650969529086,412.59053790787914,119.47051724246457,489624.1759768528,117.1669700993506,79.5023247099877,0.678538709694161,412.59053790787937,119.47051724246415,489624.1759768528,1792.1748252634761,117.16697009935103,79.5023247099877,0.6785387096941585
2068609.022556391,4.3549663632766125,412.45939310740744,119.10106046325298,489581.6294693944,117.24203840917916,80.03569609373803,0.682653570167472,412.45939310740755,119.10106046325281,489581.6294693944,1792.1748252634748,117.24203840917933,80.03569609373803,0.682653570167471
2063533.8345864662,4.344281757024139,412.3281069721933,118.73207684202644,489538.950860502,117.31721642444263,80.56717611405982,0.6867464006525297,412.3281069721934,118.73207684202633,489538.950860502,1792.1748252634734,117.31721642444275,80.56717611405982,0.686746400652529
2058458.6466165413,4.3335971507716655,412.1966788973223,118.3635661568465,489496.13949813857,117.39250333236592,81.09680999719312,0.6908176220383416,412.1966788973224,118.36356615684633,489496.13949813857,1792.174825263473,117.39250333236606,81.09680999719312,0.6908176220383407
2053383.4586466164,4.322912544519192,412.0651082707238,117.99552817904951,489453.19472567464,117.4678983201947,81.62464172447379,0.6948676437709037,412.06510827072384,117.99552817904944,489453.19472567464,1792.1748252634716,117.46789832019478,81.62464172447379,0.6948676437709033
2048308.2706766918,4.3122279382667195,411.9333944731155,117.62796267329185,489410.115881845,117.54340057521732,82.15071408276356,0.6988968643134874,411.93339447311564,117.62796267329146,489410.115881845,1792.1748252634716,117.54340057521776,82.15071408276356,0.6988968643134847
2043233.082706767,4.301543332014246,411.8015368779463,117.26086939759615,489366.9023007024,117.61900928478397,82.67506871235827,0.7029056715839359,411.8015368779464,117.26086939759614,489366.9023007024,1792.1748252634698,117.61900928478394,82.67506871235827,0.702905671583936
2038157.894736842,4.2908587257617725,411.66953485133865,116.89424810339892,489323.5533115719,117.69472363632416,83.19774615249024,0.7068944433700416,411.6695348513388,116.89424810339855,489323.5533115719,1792.1748252634702,117.69472363632458,83.19774615249024,0.706894443370039
2033082.7067669174,4.2801741195093,411.537387752029,116.52809853559626,489280.06823900185,117.7705428173659,83.71878588461661,0.7108635477247017,411.53738775202896,116.52809853559634,489280.06823900185,1792.1748252634684,117.77054281736578,83.71878588461661,0.7108635477247024
2028007.5187969925,4.2694895132568265,411.4050949313102,116.16242043259082,489236.4464027203,117.84646601555082,84.23822637352589,0.7148133433412416,411.40509493131026,116.16242043259088,489236.4464027203,1792.1748252634686,117.8464660155507,84.23822637352589,0.7148133433412424
2022932.3308270676,4.258804907004353,411.27265573297035,115.79721352633813,489192.68711758335,117.92249241865157,84.75610510654248,0.7187441799113192,411.2726557329704,115.79721352633808,489192.68711758335,1792.174825263467,117.92249241865163,84.75610510654248,0.7187441799113188
2017857.1428571427,4.2481203007518795,411.1400694932333,115.43247754239188,489148.7896935296,117.99862121458742,85.27245863078404,0.7226563984651234,411.14006949323334,115.4324775423919,489148.7896935296,1792.1748252634661,117.99862121458735,85.27245863078404,0.7226563984651239
2012781.954887218,4.237435694499406,411.00733554069564,115.06821219995312,489104.753435528,118.07485159143604,85.7873225887248,0.726550331696093,411.0073355406957,115.06821219995294,489104.753435528,1792.174825263466,118.07485159143624,85.7873225887248,0.7265503316960917
2007706.7669172932,4.2267510882469335,410.8744531962665,114.7044172119131,489060.57764353126,118.15118273745074,86.30073175202781,0.7304263042698498,410.8744531962666,114.70441721191315,489060.57764353126,1792.1748252634657,118.15118273745068,86.30073175202781,0.7304263042698501
2002631.5789473685,4.21606648199446,410.74142177310296,114.34109228490269,489016.2616124227,118.22761384107008,86.81272005387555,0.734284633119428,410.74142177310307,114.34109228490247,489016.2616124227,1792.174825263466,118.2276138410703,86.81272005387555,0.7342846331194267
1997556.3909774437,4.2053818757419865,410.6082405765472,113.97823711933651,488971.8046319663,118.30414409093184,87.32332061978296,0.7381256277266487,410.60824057654736,113.97823711933626,488971.8046319663,1792.1748252634645,118.30414409093214,87.32332061978296,0.7381256277266468
1992481.2030075188,4.194697269489513,410.47490890406294,113.61585140945894,488927.2059867567,118.38077267588471,87.83256579700121,0.7419495903906491,410.4749089040631,113.61585140945891,488927.2059867567,1792.174825263465,118.38077267588463,87.83256579700121,0.7419495903906497
1987406.015037594,4.18401266323704,410.34142604516785,113.25393484339273,488882.4649561631,118.45749878499599,88.34048718267191,0.7457568164849793,410.34142604516774,113.25393484339295,488882.4649561631,1792.1748252634634,118.45749878499578,88.34048718267191,0.7457568164849806
1982330.8270676692,4.173328056984567,410.2077912813695,112.89248710318205,488837.58081428,118.53432160756466,88.84711565063849,0.7495475947024647,410.2077912813697,112.89248710318175,488837.58081428,1792.174825263464,118.53432160756499,88.84711565063849,0.7495475947024627
1977255.6390977444,4.1626434507320935,410.074003886098,112.53150786483934,488792.5528298714,118.61124033312922,89.35248137715672,0.7533222072899928,410.07400388609807,112.5315078648393,488792.5528298714,1792.174825263463,118.61124033312925,89.35248137715672,0.7533222072899926
1972180.4511278197,4.15195884447962,409.9400631246382,112.17099679839177,488747.38026631734,118.6882541514754,89.85661386544285,0.7570809302727102,409.9400631246383,112.17099679839149,488747.38026631734,1792.1748252634632,118.68825415147566,89.85661386544285,0.7570809302727085
1967105.2631578948,4.1412742382271475,409.8059682540607,111.81095356792594,488702.06238155806,118.76536225264492,90.35954196919025,0.7608240336687722,409.80596825406053,111.81095356792613,488702.06238155806,1792.1748252634623,118.76536225264472,90.35954196919025,0.7608240336687735
1962030.07518797,4.130589631974674,409.671718523153,111.45137783163464,488656.59842803935,118.84256382694134,90.86129391506202,0.7645517816947666,409.671718523153,111.45137783163464,488656.59842803935,1792.1748252634618,118.84256382694134,90.86129391506202,0.7645517816947666
1956954.887218045,4.1199050257222005,409.53731317234957,111.09226924186049,488610.9876526552,118.919858064938,91.36189732425399,0.7682644329626128,409.53731317234974,111.09226924186027,488610.9876526552,1792.174825263462,118.91985806493825,91.36189732425399,0.7682644329626112
1951879.6992481202,4.109220419469727,409.40275143366,110.73362744514279,488565.22929669113,118.99724415748226,91.86137923314514,0.7719622406681519,409.4027514336601,110.73362744514274,488565.22929669113,1792.1748252634613,118.99724415748233,91.86137923314514,0.7719622406681513
